1536
(-0.000000, 0.937500, 0.285987) (-0.000000, 0.875000, 0.285987) (0.000000, 0.000000) 
(0.062500, 0.875000, 0.293835) (-0.000000, 0.875000, 0.293835) (0.000000, 0.000000) 
(0.062500, 0.937500, 0.277702) (-0.000000, 0.875000, 0.277702) (0.000000, 0.000000) 
(-0.000000, 0.937500, 0.285987) (-0.000000, 0.937500, 0.285987) (0.000000, 0.000000) 
(0.062500, 0.937500, 0.277702) (-0.000000, 0.937500, 0.277702) (0.000000, 0.000000) 
(-0.000000, 1.000000, 0.270337) (-0.000000, 0.937500, 0.270337) (0.000000, 0.000000) 
(-0.000000, 1.000000, 0.270337) (-0.000000, 0.937500, 0.270337) (0.000000, 0.000000) 
(0.062500, 0.937500, 0.277702) (-0.000000, 0.937500, 0.277702) (0.000000, 0.000000) 
(0.062500, 1.000000, 0.262501) (-0.000000, 0.937500, 0.262501) (0.000000, 0.000000) 
(0.062500, -0.000000, 0.810238) (0.062500, -0.000000, 0.810238) (0.000000, 0.000000) 
(0.125000, -0.000000, 0.846739) (0.062500, -0.000000, 0.846739) (0.000000, 0.000000) 
(0.062500, 0.062500, 0.877232) (0.062500, -0.000000, 0.877232) (0.000000, 0.000000) 
(0.062500, 0.062500, 0.877232) (0.062500, -0.000000, 0.877232) (0.000000, 0.000000) 
(0.125000, -0.000000, 0.846739) (0.062500, -0.000000, 0.846739) (0.000000, 0.000000) 
(0.125000, 0.062500, 0.954521) (0.062500, -0.000000, 0.954521) (0.000000, 0.000000) 
(0.062500, 0.062500, 0.877232) (0.062500, 0.062500, 0.877232) (0.000000, 0.000000) 
(0.125000, 0.062500, 0.954521) (0.062500, 0.062500, 0.954521) (0.000000, 0.000000) 
(0.062500, 0.125000, 0.946421) (0.062500, 0.062500, 0.946421) (0.000000, 0.000000) 
(0.062500, 0.125000, 0.946421) (0.062500, 0.062500, 0.946421) (0.000000, 0.000000) 
(0.125000, 0.062500, 0.954521) (0.062500, 0.062500, 0.954521) (0.000000, 0.000000) 
(0.125000, 0.125000, 1.064526) (0.062500, 0.062500, 1.064526) (0.000000, 0.000000) 
(0.062500, 0.125000, 0.946421) (0.062500, 0.125000, 0.946421) (0.000000, 0.000000) 
(0.125000, 0.125000, 1.064526) (0.062500, 0.125000, 1.064526) (0.000000, 0.000000) 
(0.062500, 0.187500, 0.982017) (0.062500, 0.125000, 0.982017) (0.000000, 0.000000) 
(0.062500, 0.187500, 0.982017) (0.062500, 0.125000, 0.982017) (0.000000, 0.000000) 
(0.125000, 0.125000, 1.064526) (0.062500, 0.125000, 1.064526) (0.000000, 0.000000) 
(0.125000, 0.187500, 1.127252) (0.062500, 0.125000, 1.127252) (0.000000, 0.000000) 
(0.062500, 0.187500, 0.982017) (0.062500, 0.187500, 0.982017) (0.000000, 0.000000) 
(0.125000, 0.187500, 1.127252) (0.062500, 0.187500, 1.127252) (0.000000, 0.000000) 
(0.062500, 0.250000, 0.956043) (0.062500, 0.187500, 0.956043) (0.000000, 0.000000) 
(0.062500, 0.250000, 0.956043) (0.062500, 0.187500, 0.956043) (0.000000, 0.000000) 
(0.125000, 0.187500, 1.127252) (0.062500, 0.187500, 1.127252) (0.000000, 0.000000) 
(0.125000, 0.250000, 1.104012) (0.062500, 0.187500, 1.104012) (0.000000, 0.000000) 
(0.062500, 0.250000, 0.956043) (0.062500, 0.250000, 0.956043) (0.000000, 0.000000) 
(0.125000, 0.250000, 1.104012) (0.062500, 0.250000, 1.104012) (0.000000, 0.000000) 
(0.062500, 0.312500, 0.866713) (0.062500, 0.250000, 0.866713) (0.000000, 0.000000) 
(0.062500, 0.312500, 0.866713) (0.062500, 0.250000, 0.866713) (0.000000, 0.000000) 
(0.125000, 0.250000, 1.104012) (0.062500, 0.250000, 1.104012) (0.000000, 0.000000) 
(0.125000, 0.312500, 0.992367) (0.062500, 0.250000, 0.992367) (0.000000, 0.000000) 
(0.062500, 0.312500, 0.866713) (0.062500, 0.312500, 0.866713) (0.000000, 0.000000) 
(0.125000, 0.312500, 0.992367) (0.062500, 0.312500, 0.992367) (0.000000, 0.000000) 
(0.062500, 0.375000, 0.739605) (0.062500, 0.312500, 0.739605) (0.000000, 0.000000) 
(0.062500, 0.375000, 0.739605) (0.062500, 0.312500, 0.739605) (0.000000, 0.000000) 
(0.125000, 0.312500, 0.992367) (0.062500, 0.312500, 0.992367) (0.000000, 0.000000) 
(0.125000, 0.375000, 0.827759) (0.062500, 0.312500, 0.827759) (0.000000, 0.000000) 
(0.062500, 0.375000, 0.739605) (0.062500, 0.375000, 0.739605) (0.000000, 0.000000) 
(0.125000, 0.375000, 0.827759) (0.062500, 0.375000, 0.827759) (0.000000, 0.000000) 
(0.062500, 0.437500, 0.610551) (0.062500, 0.375000, 0.610551) (0.000000, 0.000000) 
(0.062500, 0.437500, 0.610551) (0.062500, 0.375000, 0.610551) (0.000000, 0.000000) 
(0.125000, 0.375000, 0.827759) (0.062500, 0.375000, 0.827759) (0.000000, 0.000000) 
(0.125000, 0.437500, 0.659826) (0.062500, 0.375000, 0.659826) (0.000000, 0.000000) 
(0.062500, 0.437500, 0.610551) (0.062500, 0.437500, 0.610551) (0.000000, 0.000000) 
(0.125000, 0.437500, 0.659826) (0.062500, 0.437500, 0.659826) (0.000000, 0.000000) 
(0.062500, 0.500000, 0.505472) (0.062500, 0.437500, 0.505472) (0.000000, 0.000000) 
(0.062500, 0.500000, 0.505472) (0.062500, 0.437500, 0.505472) (0.000000, 0.000000) 
(0.125000, 0.437500, 0.659826) (0.062500, 0.437500, 0.659826) (0.000000, 0.000000) 
(0.125000, 0.500000, 0.524491) (0.062500, 0.437500, 0.524491) (0.000000, 0.000000) 
(0.062500, 0.500000, 0.505472) (0.062500, 0.500000, 0.505472) (0.000000, 0.000000) 
(0.125000, 0.500000, 0.524491) (0.062500, 0.500000, 0.524491) (0.000000, 0.000000) 
(0.062500, 0.562500, 0.432063) (0.062500, 0.500000, 0.432063) (0.000000, 0.000000) 
(0.062500, 0.562500, 0.432063) (0.062500, 0.500000, 0.432063) (0.000000, 0.000000) 
(0.125000, 0.500000, 0.524491) (0.062500, 0.500000, 0.524491) (0.000000, 0.000000) 
(0.125000, 0.562500, 0.432442) (0.062500, 0.500000, 0.432442) (0.000000, 0.000000) 
(0.062500, 0.562500, 0.432063) (0.062500, 0.562500, 0.432063) (0.000000, 0.000000) 
(0.125000, 0.562500, 0.432442) (0.062500, 0.562500, 0.432442) (0.000000, 0.000000) 
(0.062500, 0.625000, 0.384628) (0.062500, 0.562500, 0.384628) (0.000000, 0.000000) 
(0.062500, 0.625000, 0.384628) (0.062500, 0.562500, 0.384628) (0.000000, 0.000000) 
(0.125000, 0.562500, 0.432442) (0.062500, 0.562500, 0.432442) (0.000000, 0.000000) 
(0.125000, 0.625000, 0.375823) (0.062500, 0.562500, 0.375823) (0.000000, 0.000000) 
(0.062500, 0.625000, 0.384628) (0.062500, 0.625000, 0.384628) (0.000000, 0.000000) 
(0.125000, 0.625000, 0.375823) (0.062500, 0.625000, 0.375823) (0.000000, 0.000000) 
(0.062500, 0.687500, 0.353338) (0.062500, 0.625000, 0.353338) (0.000000, 0.000000) 
(0.062500, 0.687500, 0.353338) (0.062500, 0.625000, 0.353338) (0.000000, 0.000000) 
(0.125000, 0.625000, 0.375823) (0.062500, 0.625000, 0.375823) (0.000000, 0.000000) 
(0.125000, 0.687500, 0.341050) (0.062500, 0.625000, 0.341050) (0.000000, 0.000000) 
(0.062500, 0.687500, 0.353338) (0.062500, 0.687500, 0.353338) (0.000000, 0.000000) 
(0.125000, 0.687500, 0.341050) (0.062500, 0.687500, 0.341050) (0.000000, 0.000000) 
(0.062500, 0.750000, 0.330322) (0.062500, 0.687500, 0.330322) (0.000000, 0.000000) 
(0.062500, 0.750000, 0.330322) (0.062500, 0.687500, 0.330322) (0.000000, 0.000000) 
(0.125000, 0.687500, 0.341050) (0.062500, 0.687500, 0.341050) (0.000000, 0.000000) 
(0.125000, 0.750000, 0.317262) (0.062500, 0.687500, 0.317262) (0.000000, 0.000000) 
(0.062500, 0.750000, 0.330322) (0.062500, 0.750000, 0.330322) (0.000000, 0.000000) 
(0.125000, 0.750000, 0.317262) (0.062500, 0.750000, 0.317262) (0.000000, 0.000000) 
(0.062500, 0.812500, 0.311138) (0.062500, 0.750000, 0.311138) (0.000000, 0.000000) 
(0.062500, 0.812500, 0.311138) (0.062500, 0.750000, 0.311138) (0.000000, 0.000000) 
(0.125000, 0.750000, 0.317262) (0.062500, 0.750000, 0.317262) (0.000000, 0.000000) 
(0.125000, 0.812500, 0.298362) (0.062500, 0.750000, 0.298362) (0.000000, 0.000000) 
(0.062500, 0.812500, 0.311138) (0.062500, 0.812500, 0.311138) (0.000000, 0.000000) 
(0.125000, 0.812500, 0.298362) (0.062500, 0.812500, 0.298362) (0.000000, 0.000000) 
(0.062500, 0.875000, 0.293835) (0.062500, 0.812500, 0.293835) (0.000000, 0.000000) 
(0.062500, 0.875000, 0.293835) (0.062500, 0.812500, 0.293835) (0.000000, 0.000000) 
(0.125000, 0.812500, 0.298362) (0.062500, 0.812500, 0.298362) (0.000000, 0.000000) 
(0.125000, 0.875000, 0.281667) (0.062500, 0.812500, 0.281667) (0.000000, 0.000000) 
(0.062500, 0.875000, 0.293835) (0.062500, 0.875000, 0.293835) (0.000000, 0.000000) 
(0.125000, 0.875000, 0.281667) (0.062500, 0.875000, 0.281667) (0.000000, 0.000000) 
(0.062500, 0.937500, 0.277702) (0.062500, 0.875000, 0.277702) (0.000000, 0.000000) 
(0.062500, 0.937500, 0.277702) (0.062500, 0.875000, 0.277702) (0.000000, 0.000000) 
(0.125000, 0.875000, 0.281667) (0.062500, 0.875000, 0.281667) (0.000000, 0.000000) 
(0.125000, 0.937500, 0.266192) (0.062500, 0.875000, 0.266192) (0.000000, 0.000000) 
(0.062500, 0.937500, 0.277702) (0.062500, 0.937500, 0.277702) (0.000000, 0.000000) 
(0.125000, 0.937500, 0.266192) (0.062500, 0.937500, 0.266192) (0.000000, 0.000000) 
(0.062500, 1.000000, 0.262501) (0.062500, 0.937500, 0.262501) (0.000000, 0.000000) 
(0.062500, 1.000000, 0.262501) (0.062500, 0.937500, 0.262501) (0.000000, 0.000000) 
(0.125000, 0.937500, 0.266192) (0.062500, 0.937500, 0.266192) (0.000000, 0.000000) 
(0.125000, 1.000000, 0.251621) (0.062500, 0.937500, 0.251621) (0.000000, 0.000000) 
(0.125000, -0.000000, 0.846739) (0.125000, -0.000000, 0.846739) (0.000000, 0.000000) 
(0.187500, -0.000000, 0.854921) (0.125000, -0.000000, 0.854921) (0.000000, 0.000000) 
(0.125000, 0.062500, 0.954521) (0.125000, -0.000000, 0.954521) (0.000000, 0.000000) 
(0.125000, 0.062500, 0.954521) (0.125000, -0.000000, 0.954521) (0.000000, 0.000000) 
(0.187500, -0.000000, 0.854921) (0.125000, -0.000000, 0.854921) (0.000000, 0.000000) 
(0.187500, 0.062500, 0.990304) (0.125000, -0.000000, 0.990304) (0.000000, 0.000000) 
(0.125000, 0.062500, 0.954521) (0.125000, 0.062500, 0.954521) (0.000000, 0.000000) 
(0.187500, 0.062500, 0.990304) (0.125000, 0.062500, 0.990304) (0.000000, 0.000000) 
(0.125000, 0.125000, 1.064526) (0.125000, 0.062500, 1.064526) (0.000000, 0.000000) 
(0.125000, 0.125000, 1.064526) (0.125000, 0.062500, 1.064526) (0.000000, 0.000000) 
(0.187500, 0.062500, 0.990304) (0.125000, 0.062500, 0.990304) (0.000000, 0.000000) 
(0.187500, 0.125000, 1.127898) (0.125000, 0.062500, 1.127898) (0.000000, 0.000000) 
(0.125000, 0.125000, 1.064526) (0.125000, 0.125000, 1.064526) (0.000000, 0.000000) 
(0.187500, 0.125000, 1.127898) (0.125000, 0.125000, 1.127898) (0.000000, 0.000000) 
(0.125000, 0.187500, 1.127252) (0.125000, 0.125000, 1.127252) (0.000000, 0.000000) 
(0.125000, 0.187500, 1.127252) (0.125000, 0.125000, 1.127252) (0.000000, 0.000000) 
(0.187500, 0.125000, 1.127898) (0.125000, 0.125000, 1.127898) (0.000000, 0.000000) 
(0.187500, 0.187500, 1.209224) (0.125000, 0.125000, 1.209224) (0.000000, 0.000000) 
(0.125000, 0.187500, 1.127252) (0.125000, 0.187500, 1.127252) (0.000000, 0.000000) 
(0.187500, 0.187500, 1.209224) (0.125000, 0.187500, 1.209224) (0.000000, 0.000000) 
(0.125000, 0.250000, 1.104012) (0.125000, 0.187500, 1.104012) (0.000000, 0.000000) 
(0.125000, 0.250000, 1.104012) (0.125000, 0.187500, 1.104012) (0.000000, 0.000000) 
(0.187500, 0.187500, 1.209224) (0.125000, 0.187500, 1.209224) (0.000000, 0.000000) 
(0.187500, 0.250000, 1.188566) (0.125000, 0.187500, 1.188566) (0.000000, 0.000000) 
(0.125000, 0.250000, 1.104012) (0.125000, 0.250000, 1.104012) (0.000000, 0.000000) 
(0.187500, 0.250000, 1.188566) (0.125000, 0.250000, 1.188566) (0.000000, 0.000000) 
(0.125000, 0.312500, 0.992367) (0.125000, 0.250000, 0.992367) (0.000000, 0.000000) 
(0.125000, 0.312500, 0.992367) (0.125000, 0.250000, 0.992367) (0.000000, 0.000000) 
(0.187500, 0.250000, 1.188566) (0.125000, 0.250000, 1.188566) (0.000000, 0.000000) 
(0.187500, 0.312500, 1.063036) (0.125000, 0.250000, 1.063036) (0.000000, 0.000000) 
(0.125000, 0.312500, 0.992367) (0.125000, 0.312500, 0.992367) (0.000000, 0.000000) 
(0.187500, 0.312500, 1.063036) (0.125000, 0.312500, 1.063036) (0.000000, 0.000000) 
(0.125000, 0.375000, 0.827759) (0.125000, 0.312500, 0.827759) (0.000000, 0.000000) 
(0.125000, 0.375000, 0.827759) (0.125000, 0.312500, 0.827759) (0.000000, 0.000000) 
